top_k_setting,model_kind,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
none,reasoning,cluster_median_mean_wlen,1410,0.9957627118644068,0.2404255319148936,0.5205673758865248,0.6801418439716312,1.8148180107328056e+26,6.814635588960756e+27
none,reasoning,cluster_median_mean_wsize,1410,0.9957627118644068,0.24964539007092199,0.5397163120567375,0.6929078014184397,2.0354609929078016e+26,7.643149252530262e+27
none,reasoning,cluster_median_median,1410,0.9957627118644068,0.3021276595744681,0.5950354609929078,0.7404255319148936,146188.85957446808,4089995.4518466922
none,reasoning,cluster_median_median_wlen,1410,0.9957627118644068,0.3170212765957447,0.6035460992907802,0.749645390070922,97497.12269503546,3660242.084554638
none,reasoning,cluster_median_median_wsize,1410,0.9957627118644068,0.3078014184397163,0.6156028368794326,0.75177304964539,97357.18085106384,3655501.6431989283
none,reasoning,cluster_median_mode,1410,0.9957627118644068,0.3021276595744681,0.5858156028368794,0.7340425531914894,97370.98723404255,3655501.680944424
none,reasoning,cluster_median_mode_wlen,1410,0.9957627118644068,0.31134751773049646,0.5815602836879432,0.7304964539007093,97496.604964539,3660242.0843440364
none,reasoning,cluster_median_mode_wsize,1410,0.9957627118644068,0.31134751773049646,0.6056737588652482,0.7432624113475177,97358.38581560284,3655501.6434907364
none,reasoning,cluster_mode_mean,1410,0.9957627118644068,0.2326241134751773,0.5028368794326241,0.6680851063829787,2.0354609929078016e+26,7.643149252530262e+27
none,reasoning,cluster_mode_mean_wlen,1410,0.9957627118644068,0.2397163120567376,0.5113475177304965,0.6758865248226951,1.8148180107328056e+26,6.814635588960756e+27
none,reasoning,cluster_mode_mean_wsize,1410,0.9957627118644068,0.24893617021276596,0.5304964539007092,0.6872340425531915,2.0354609929078016e+26,7.643149252530262e+27
none,reasoning,cluster_mode_median,1410,0.9957627118644068,0.30425531914893617,0.5879432624113475,0.7404255319148936,146156.99716312057,4088926.9735027873
none,reasoning,cluster_mode_median_wlen,1410,0.9957627118644068,0.31843971631205675,0.599290780141844,0.7439716312056738,97497.03971631205,3660242.0845502643
none,reasoning,cluster_mode_median_wsize,1410,0.9957627118644068,0.3099290780141844,0.5957446808510638,0.7404255319148936,97293.65744680852,3653111.175033401
none,reasoning,cluster_mode_mode,1410,0.9957627118644068,0.30141843971631205,0.5765957446808511,0.7276595744680852,97308.71205673758,3653111.2130987705
none,reasoning,cluster_mode_mode_wlen,1410,0.9957627118644068,0.3177304964539007,0.5801418439716312,0.7219858156028369,97496.63900709219,3660242.084344219
none,reasoning,cluster_mode_mode_wsize,1410,0.9957627118644068,0.3070921985815603,0.5893617021276596,0.725531914893617,97294.87730496454,3653111.175324727
none,reasoning,dedup_k_mean,1411,0.9964689265536724,0.19064493267186391,0.44294826364280654,0.6102055279943303,5.2760059847232065e+63,1.9818408977975077e+65
none,reasoning,dedup_k_median,1411,0.9964689265536724,0.23742026931254429,0.5478384124734231,0.702338766832034,291740.57335223246,6326874.387260363
none,reasoning,dedup_k_mode,1411,0.9964689265536724,0.21403260099220411,0.513111268603827,0.6945428773919207,291740.6506024096,6326874.387260428
none,reasoning,dedup_text_mean,1411,0.9964689265536724,0.23742026931254429,0.5116938341601701,0.669029057406095,2.374202693125443e+63,8.918284040088785e+64
none,reasoning,dedup_text_median,1411,0.9964689265536724,0.3196314670446492,0.6194188518781006,0.7597448618001418,97279.26860382708,3653876.7707726653
none,reasoning,dedup_text_mode,1411,0.9964689265536724,0.31537916371367825,0.6009922041105599,0.7363571934798016,8.002126151665486,69.58551479723371
none,reasoning,mean,1411,0.9964689265536724,0.23742026931254429,0.5109851169383416,0.669029057406095,2.374202693125443e+63,8.918284040088785e+64
none,reasoning,median,1411,0.9964689265536724,0.3203401842664777,0.6194188518781006,0.7597448618001418,97279.27214741318,3653876.7707726792
none,reasoning,mode,1411,0.9964689265536724,0.3160878809355067,0.6009922041105599,0.7370659107016301,8.005669737774628,69.58586617327069
none,reasoning,trimmed_mean_10,1411,0.9964689265536724,0.25726435152374205,0.5556343019135365,0.7193479801559178,1.163931745079867e+26,4.372109397379921e+27
none,reasoning,winsor_mean_10,1411,0.9964689265536724,0.25017717930545713,0.5435861091424522,0.7044649184975195,2.0174816914717694e+26,7.578322955458529e+27
