top_k_setting,model_kind,temperature,method,n,coverage,acc,acc_within1,acc_within2,mae,rmse
40,reasoning,1.0,cluster_mode_mode,353,0.9971751412429378,0.3059490084985836,0.6118980169971672,0.7620396600566572,4.804532577903683,18.119840283457716
40,reasoning,1.0,cluster_mode_mode_wlen,353,0.9971751412429378,0.34844192634560905,0.6090651558073654,0.7535410764872521,5.713881019830028,25.017897276469448
40,reasoning,1.0,cluster_mode_mode_wsize,353,0.9971751412429378,0.32011331444759206,0.6203966005665722,0.7762039660056658,388864.8668555241,7306006.938924084
40,reasoning,1.0,dedup_k_mean,353,0.9971751412429378,0.16997167138810199,0.4164305949008499,0.5750708215297451,4.3261837312828814e+26,8.128161282797166e+27
40,reasoning,1.0,dedup_k_median,353,0.9971751412429378,0.21246458923512748,0.5580736543909348,0.7195467422096318,44.668555240793204,746.1173874179353
40,reasoning,1.0,dedup_k_mode,353,0.9971751412429378,0.18980169971671387,0.5042492917847026,0.7110481586402266,44.54957507082153,746.0998004163405
40,reasoning,1.0,dedup_text_mean,353,0.9971751412429378,0.22096317280453256,0.5240793201133145,0.6798866855524079,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,dedup_text_median,353,0.9971751412429378,0.3342776203966006,0.6260623229461756,0.7903682719546742,4.504249291784703,18.16668182723246
40,reasoning,1.0,dedup_text_mode,353,0.9971751412429378,0.35127478753541075,0.6288951841359773,0.7677053824362606,5.36543909348442,24.007081108347517
40,reasoning,1.0,mean,353,0.9971751412429378,0.22096317280453256,0.5240793201133145,0.6798866855524079,3.187714328313702e+26,5.989171471534753e+27
40,reasoning,1.0,median,353,0.9971751412429378,0.3342776203966006,0.6260623229461756,0.7903682719546742,4.504249291784703,18.16668182723246
40,reasoning,1.0,mode,353,0.9971751412429378,0.35127478753541075,0.6288951841359773,0.7677053824362606,5.36543909348442,24.007081108347517
40,reasoning,1.0,trimmed_mean_10,353,0.9971751412429378,0.2577903682719547,0.5892351274787535,0.7450424929178471,111630.58923512748,2091496.7045074217
40,reasoning,1.0,winsor_mean_10,353,0.9971751412429378,0.24645892351274787,0.5750708215297451,0.7308781869688386,111861.10481586402,2091512.2667269334
none,reasoning,0.1,cluster_mean_mean,351,0.9915254237288136,0.21367521367521367,0.4757834757834758,0.6410256410256411,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_mean_wlen,351,0.9915254237288136,0.22792022792022792,0.47863247863247865,0.6467236467236467,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_mean_wsize,351,0.9915254237288136,0.22792022792022792,0.50997150997151,0.6552706552706553,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_median,351,0.9915254237288136,0.23931623931623933,0.4928774928774929,0.6866096866096866,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_median_wlen,351,0.9915254237288136,0.2564102564102564,0.4985754985754986,0.6666666666666666,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_median_wsize,351,0.9915254237288136,0.24786324786324787,0.5384615384615384,0.6666666666666666,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_mode,351,0.9915254237288136,0.2535612535612536,0.5014245014245015,0.6581196581196581,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_mode_wlen,351,0.9915254237288136,0.27350427350427353,0.49572649572649574,0.6524216524216524,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_mean_mode_wsize,351,0.9915254237288136,0.25071225071225073,0.5384615384615384,0.6723646723646723,9.544159544159544e+63,1.7880977174901397e+65
none,reasoning,0.1,cluster_median_mean,351,0.9915254237288136,0.22507122507122507,0.4928774928774929,0.6581196581196581,9.245014245014245,40.53674777566548
none,reasoning,0.1,cluster_median_mean_wlen,351,0.9915254237288136,0.23931623931623933,0.49002849002849,0.6638176638176638,8.091168091168091,35.3942387508495
none,reasoning,0.1,cluster_median_mean_wsize,351,0.9915254237288136,0.245014245014245,0.5270655270655271,0.6809116809116809,7.951566951566951,36.13566555062083
none,reasoning,0.1,cluster_median_median,351,0.9915254237288136,0.24786324786324787,0.5071225071225072,0.6923076923076923,6.504273504273504,28.603936533022605
none,reasoning,0.1,cluster_median_median_wlen,351,0.9915254237288136,0.2706552706552707,0.5156695156695157,0.6923076923076923,7.339031339031339,32.55781620458283
none,reasoning,0.1,cluster_median_median_wsize,351,0.9915254237288136,0.2678062678062678,0.5612535612535613,0.7008547008547008,6.347578347578348,28.708774480874872
none,reasoning,0.1,cluster_median_mode,351,0.9915254237288136,0.2621082621082621,0.5242165242165242,0.6866096866096866,6.487179487179487,28.641362316196403
none,reasoning,0.1,cluster_median_mode_wlen,351,0.9915254237288136,0.27635327635327633,0.5128205128205128,0.6666666666666666,7.737891737891738,32.96004660744084
none,reasoning,0.1,cluster_median_mode_wsize,351,0.9915254237288136,0.2678062678062678,0.5641025641025641,0.7065527065527065,6.344729344729345,28.70872486180609
none,reasoning,0.1,cluster_mode_mean,351,0.9915254237288136,0.24216524216524216,0.49572649572649574,0.6524216524216524,8.98860398860399,39.586142500408876
none,reasoning,0.1,cluster_mode_mean_wlen,351,0.9915254237288136,0.2564102564102564,0.4928774928774929,0.6638176638176638,7.803418803418803,34.31532180442594
none,reasoning,0.1,cluster_mode_mean_wsize,351,0.9915254237288136,0.2535612535612536,0.5213675213675214,0.6695156695156695,7.948717948717949,35.59058103894145
none,reasoning,0.1,cluster_mode_median,351,0.9915254237288136,0.2621082621082621,0.5156695156695157,0.698005698005698,6.2592592592592595,27.19618500143869
none,reasoning,0.1,cluster_mode_median_wlen,351,0.9915254237288136,0.2934472934472934,0.5185185185185185,0.6951566951566952,6.94017094017094,31.11196580022574
none,reasoning,0.1,cluster_mode_median_wsize,351,0.9915254237288136,0.2792022792022792,0.5498575498575499,0.6837606837606838,6.452991452991453,28.248641648506837
none,reasoning,0.1,cluster_mode_mode,351,0.9915254237288136,0.2792022792022792,0.5185185185185185,0.6866096866096866,6.433048433048433,27.775247748028953
none,reasoning,0.1,cluster_mode_mode_wlen,351,0.9915254237288136,0.2934472934472934,0.5042735042735043,0.6666666666666666,7.236467236467236,31.39945741451476
none,reasoning,0.1,cluster_mode_mode_wsize,351,0.9915254237288136,0.2849002849002849,0.5527065527065527,0.6837606837606838,6.475783475783476,28.25519643103062
none,reasoning,0.1,dedup_k_mean,352,0.9943502824858758,0.20170454545454544,0.4659090909090909,0.6193181818181818,2.1148989898989898e+64,3.9679022210627495e+65
